"Visit your Insights Store";"Visit your Insights Showroom"
"This plugin provides deep integration for advertising using the ""%1$sAdvertisements / Community Ads Plugin%2$s"". Please install and enable this plugin to configure settings for the various ad positions and widgets available. If you do not have this plugin yet, click here to view its details and purchase it: %1$shttp://www.socialengineaddons.com/socialengine-advertisements-community-ads-plugin%2$s.";"This plugin provides deep integration for advertising using the ""%1$sAdvertisements / Community Ads Plugin%2$s"". Please install and enable this plugin to configure settings for the various ad positions and widgets available. If you do not have this plugin yet, click here to view its details and purchase it: %1$shttp://www.socialengineaddons.com/socialengine-advertisements-community-ads-plugin%2$s."
"Ad Settings";"Ad Settings"
"This plugin provides seamless integration with the ""Advertisements / Community Ads Plugin"". Attractive advertising can be done using the many available, well designed ad positions in this plugin. Below, you can configure the settings for the various ad positions and widgets.";"This plugin provides seamless integration with the ""Advertisements / Community Ads Plugin"". Attractive advertising can be done using the many available, well designed ad positions in this plugin. Below, you can configure the settings for the various ad positions and widgets."
"Community Ads in this plugin";"Community Ads in this plugin"
"Do you want to show community ads in the various positions available in this plugin? (Below, you will be able to choose for every individual position. If you do not want to show ads in a particular position, then please enter the value ""0"" for it below.)";"Do you want to show community ads in the various positions available in this plugin? (Below, you will be able to choose for every individual position. If you do not want to show ads in a particular position, then please enter the value ""0"" for it below.)"
"Ads in Photos Lightbox";"Ads in Photos Lightbox"
"Do you want to show ads in ajax lightbox for viewing photos of albums of stores?";"Do you want to show ads in ajax lightbox for viewing photos of albums of Showrooms?"
"Type of Ads in Photos Lightbox";"Type of Ads in Photos Lightbox"
"Select the type of ads you want to show in the ajax lightbox for viewing photos of albums of stores.";"Select the type of ads you want to show in the ajax lightbox for viewing photos of albums of Showrooms."
"Profile Photo Required";"Profile Photo Required"
"Select";"Select"
"Store Note's Edit Store";"Showroom Note's Edit Showroom"
"There are no photos in this store album.";"There are no photos in this Showroom album."
"Delete Store?";"Delete Showroom?"
"Are you sure that you want to delete the Store with the title ""%1$s"" last modified %2$s? It will not be recoverable after being deleted.";"Are you sure that you want to delete the Showroom with the title ""%1$s"" last modified %2$s? It will not be recoverable after being deleted."
"How many ads will be shown on a store note's edit store?";"How many ads will be shown on a Showroom note's edit Showroom?"
"Store Note's Delete Store";"Showroom Note's Delete Showroom"
"How many ads will be shown on a store note's delete store?";"How many ads will be shown on a Showroom note's delete Showroom?"
"Store Note's Add Photos Store";"Showroom Note's Add Photos Showroom"
"How many ads will be shown on a store note's add photos store?";"How many ads will be shown on a Showroom note's add photos Showroom?"
"Store Note's Edit Photo Store";"Showroom Note's Edit Photo Showroom"
"How many ads will be shown on a store note's edit photo store?";"How many ads will be shown on a Showroom note's edit photo Showroom?"
"Store Note's Creation Success Store";"Showroom Note's Creation Success Showroom"
"How many ads will be shown on a store note's creation success store?";"How many ads will be shown on a Showroom note's creation success Showroom?"
"Store Event's View Store";"Showroom Event's View Showroom"
"How many ads will be shown on a store event's view store?";"How many ads will be shown on a Showroom event's view Showroom?"
"Store Event's Create Store";"Showroom Event's Create Showroom"
"How many ads will be shown on a store event's create store?";"How many ads will be shown on a Showroom event's create Showroom?"
"Store Event's Edit Store";"Showroom Event's Edit Showroom"
"How many ads will be shown on a store event's edit store?";"How many ads will be shown on a Showroom event's edit Showroom?"
"Store Event's Delete Store";"Showroom Event's Delete Showroom"
"How many ads will be shown on a store event's delete store?";"How many ads will be shown on a Showroom event's delete Showroom?"
"Store Album's View Store";"Showroom Album's View Showroom"
"How many ads will be shown on a store album's view store?";"How many ads will be shown on a Showroom album's view Showroom?"
"Store Album's Create Store";"Showroom Album's Create Showroom"
"How many ads will be shown on a store album's create store?";"How many ads will be shown on a Showroom album's create Showroom?"
"Store Album's Edit Photos Store";"Showroom Album's Edit Photos Showroom"
"How many ads will be shown on a store album's edit photos store?";"How many ads will be shown on a Showroom album's edit photos Showroom?"
"Store Discussion's View Store";"Showroom Discussion's View Showroom"
"How many ads will be shown on a store dicussion's view store?";"How many ads will be shown on a Showroom dicussion's view Showroom?"
"Store Discussion's Create Store";"Showroom Discussion's Create Showroom"
"How many ads will be shown on a store dicussion's create store?";"How many ads will be shown on a Showroom dicussion's create Showroom?"
"Store Discussion's Post Reply Store";"Showroom Discussion's Post Reply Showroom"
"How many ads will be shown on a dicussion's post reply store?";"How many ads will be shown on a dicussion's post reply Showroom?"
"Store Document's View Store";"Showroom Document's View Showroom"
"How many ads will be shown on a Store document's view store?";"How many ads will be shown on a Showroom document's view Showroom?"
"Store Document's Create Store";"Showroom Document's Create Showroom"
"How many ads will be shown on a Store document's create store?";"How many ads will be shown on a Showroom document's create Showroom?"
"Store Document's Edit Store";"Showroom Document's Edit Showroom"
"How many ads will be shown on a Store document's edit store?";"How many ads will be shown on a Showroom document's edit Showroom?"
"Store Document's Delete Store";"Showroom Document's Delete Showroom"
"How many ads will be shown on a Store document's delete store?";"How many ads will be shown on a Showroom document's delete Showroom?"
"Store Video's View Store";"Showroom Video's View Showroom"
"How many ads will be shown on a store video's view store?";"How many ads will be shown on a Showroom video's view Showroom?"
"Store Video's Create Store";"Showroom Video's Create Showroom"
"How many ads will be shown on a store video's create store?";"How many ads will be shown on a Showroom video's create Showroom?"
"Store Video's Edit Store";"Showroom Video's Edit Showroom"
"How many ads will be shown on a store video's edit store?";"How many ads will be shown on a Showroom video's edit Showroom?"
"Store Video's Delete Store";"Showroom Video's Delete Showroom"
"Store Poll's View Store";"Showroom Poll's View Showroom"
"How many ads will be shown on a store poll's view store?";"How many ads will be shown on a Showroom poll's view Showroom?"
"Store Poll's Create Store";"Showroom Poll's Create Showroom"
"How many ads will be shown on a store poll's create store?";"How many ads will be shown on a Showroom poll's create Showroom?"
"Store Poll's Delete Store";"Showroom Poll's Delete Showroom"
"How many ads will be shown on a store poll's delete store?";"How many ads will be shown on a Showroom poll's delete Showroom?"
"Store Review's Create Store";"Showroom Review's Create Showroom"
"How many ads will be shown on a store review's create store?";"How many ads will be shown on a Showroom review's create Showroom?"
"Store Review's Edit Store";"Showroom Review's Edit Showroom"
"How many ads will be shown on a store review's edit store?";"How many ads will be shown on a Showroom review's edit Showroom?"
"Store Review's Delete Store";"Showroom Review's Delete Showroom"
"How many ads will be shown on a store review's delete store?";"How many ads will be shown on a Showroom review's delete Showroom?"
"Store Reviews View Store";"Showroom Reviews View Showroom"
"How many ads will be shown on a store review\'s view store?";"How many ads will be shown on a Showroom review\'s view Showroom?"
"How many ads will be shown on form's add question store?";"How many ads will be shown on form's add question Showroom?"
"How many ads will be shown on a badge's view store?";"How many ads will be shown on a badge's view Showroom?"
"How many ads will be shown on a store note's create store?";"How many ads will be shown on a Showroom note's create Showroom?"
"How many ads will be shown on a store video's delete store?";"How many ads will be shown on a Showroom video's delete Showroom?"
"My Stores";"My Showrooms"
"Sponsored Ads";"Sponsored Ads"
"Featured Ads";"Featured Ads"
"Both Sponsored and Featured Ads";"Both Sponsored and Featured Ads"
"Sample Ad Widget";"Sample Ad Widget"
"Do you want to show a Sample Ad of a Store on its profile in the Info and Overview widgets? (This widget will only be visible to store admins and will tempt them to create an Ad for their Store. Click %1$shere%2$s to preview this widget.)";"Do you want to show a Sample Ad of a Showroom on its profile in the Info and Overview widgets? (This widget will only be visible to Showroom admins and will tempt them to create an Ad for their Showroom. Click %1$shere%2$s to preview this widget.)"
"Advertise your Store Widget";"Advertise your Showroom Widget"
"Do you want to show the Advertise your Store widget on Store Profile in the Info and Overview widgets? (This widget will only be visible to store admins and it displays a catchy phrase to tempt them to create an Ad for their Store. It also has a link to Create an Ad. Click %1$shere%2$s to preview this widget.)";"Do you want to show the Advertise your Showroom widget on Showroom Profile in the Info and Overview widgets? (This widget will only be visible to Showroom admins and it displays a catchy phrase to tempt them to create an Ad for their Showroom. It also has a link to Create an Ad. Click %1$shere%2$s to preview this widget.)"
"Store Profile Notes Widget";"Showroom Profile Notes Widget"
"How many ads will be shown in store profile notes widget?";"How many ads will be shown in Showroom profile notes widget?"
"Store Notes View Store";"Showroom Notes View Showroom"
"How many ads will be shown on a store note's view store?";"How many ads will be shown on a Showroom note's view Showroom?"
"Store Note's Create Store";"Showroom Note's Create Showroom"
"How many ads will be shown on a store note\'s create store?";"How many ads will be shown on a Showroom note\'s create Showroom?"
"Store Note\'s Edit Store";"Showroom Note\'s Edit Showroom"
"How many ads will be shown on a store note\'s edit store?";"How many ads will be shown on a Showroom note\'s edit Showroom?"
"Store Note\'s Delete Store";"Showroom Note\'s Delete Showroom"
"How many ads will be shown on a store note\'s delete store?";"How many ads will be shown on a Showroom note\'s delete Showroom?"
"Store Note\'s Add Photos Store";"Showroom Note\'s Add Photos Showroom"
"How many ads will be shown on a store note\'s add photos store?";"How many ads will be shown on a Showroom note\'s add photos Showroom?"
"Store Note\'s Edit Photo Store";"Showroom Note\'s Edit Photo Showroom"
"How many ads will be shown on a store note\'s edit photo store?";"How many ads will be shown on a Showroom note\'s edit photo Showroom?"
"Store Note\'s Creation Success Store";"Showroom Note\'s Creation Success Showroom"
"How many ads will be shown on a store note\'s creation success store?";"How many ads will be shown on a Showroom note\'s creation success Showroom?"
"Store Profile Events Widget";"Showroom Profile Events Widget"
"How many ads will be shown in store profile events widget?";"How many ads will be shown in Showroom profile events widget?"
"Store Event\'s View Store";"Showroom Event\'s View Showroom"
"How many ads will be shown on a store event\'s view store?";"How many ads will be shown on a Showroom event\'s view Showroom?"
"Store Event\'s Create Store";"Showroom Event\'s Create Showroom"
"How many ads will be shown on a store event\'s create store?";"How many ads will be shown on a Showroom event\'s create Showroom?"
"Store Event\'s Edit Store";"Showroom Event\'s Edit Showroom"
"How many ads will be shown on a store event\'s edit store?";"How many ads will be shown on a Showroom event\'s edit Showroom?"
"Store Event\'s Delete Store";"Showroom Event\'s Delete Showroom"
"How many ads will be shown on a store event\'s delete store?";"How many ads will be shown on a Showroom event\'s delete Showroom?"
"Store Profile Albums Widget";"Showroom Profile Albums Widget"
"How many ads will be shown in store profile albums widget?";"How many ads will be shown in Showroom profile albums widget?"
"Store Album\'s View Store";"Showroom Album\'s View Showroom"
"How many ads will be shown on a store album\'s view store?";"How many ads will be shown on a Showroom album\'s view Showroom?"
"Store Album\'s Create Store";"Showroom Album\'s Create Showroom"
