"Search for...";"Search products you are looking for.."
"CORE_VIEWS_SCRIPTS_ADMINLANGUAGE_INDEX_DESCRIPTION";"The layout of your community includes hundreds of phrases of text which are stored in a language pack. If you want to change any of these phrases, you can edit a language pack below. If you want to allow your consumers to pick from multiple languages, you can also create or import additional packs. If you have multiple packs installed, the pack you've marked as your ""default"" will be the language that displays if a consumer has not specified their language of choice."
"View Members";"View Consumer"
"Popular Members";"Popular Consumer"
"CORE_VIEWS_SCRIPTS_ADMINPLUGINS_DESCRIPTION";"Plugins can extend and enhance many aspects of your social network. They often add new features for consumers, making your community more attractive and interactive. They can also give you more control over how your social network operates. If you've recently purchased a new plugin, you can install it by clicking the ""Add New Plugin"" link below."
"These settings affect your entire community and all your members.";"These settings affect your entire community and all your consumers."
"Member Profiles";"Consumer Profiles"
"No, visitors must sign in to view member profiles.";"No, visitors must sign in to view consumer profiles."
"Browse Members Page";"Browse Consumers Page"
"No, visitors must sign in to view the members browse page.";"No, visitors must sign in to view the consumers browse page."
"CORE_FORM_ADMIN_SETTINGS_GENERAL_QUOTA_DESCRIPTION";"How much content (photos, songs, videos, etc.) do you want each consumer to be able to upload? This limit only applies to uploaded content, not things that are linked or embedded from other websites."
"CORE_FORM_ADMIN_SETTINGS_GENERAL_COMMENTHTML_DESCRIPTION";"By default, Consumers may not enter any HTML tags into comments. If you want to allow specific tags, you can enter them below (separated by commas). Example: b, img, a, embed, font"
"Yes, make members complete the CAPTCHA form.";"Yes, make consumers complete the CAPTCHA form."
"Yes, make visitors complete CAPTCHA, but members are exempt.";"Yes, make visitors complete CAPTCHA, but consumers are exempt."
"CORE_FORM_ADMIN_SETTINGS_EMAIL_DESCRIPTION";"Various notification emails are sent to your consumers as they interact with the community. Use this form to customize the content of these emails. Any changes you make here will only be saved after you click the ""Save Changes"" button at the bottom of the form."
"Online Members";"Online Consumers"
"Email All Members";"Email All Consumers"
"CORE_FORM_ADMIN_MESSAGE_MAIL_DESCRIPTION";"Using this form, you will be able to send an email out to all of your consumers. Emails are sent out using a queue system, so they will be sent out over time. An email will be sent to you when all emails have been sent."
"Hold down the CTRL key to select or de-select specific Member Levels.";"Hold down the CTRL key to select or de-select specific Consumer Levels."
"No, visitors must sign in to view the browse members page.";"No, visitors must sign in to view the browse consumers page."
"_EMAIL_HEADER_TITLE";"Header (Non-consumers)"
"_EMAIL_FOOTER_TITLE";"Footer (Non-consumers)"
"_EMAIL_HEADER_MEMBER_TITLE";"Header (Consumers)"
"_EMAIL_HEADER_MEMBER_DESCRIPTION";"This can be added to other emails using the [header] placeholder."
"_EMAIL_HEADER_MEMBER_BODY";"Hello [recipient_title],"
"_EMAIL_FOOTER_MEMBER_TITLE";"Footer (Consumer)"
"_EMAIL_FOOTER_MEMBER_DESCRIPTION";"This can be added to other emails using the [footer] placeholder."
"_EMAIL_FOOTER_MEMBER_BODY";"Best Regards,
Social Network Administration"
"_EMAIL_CORE_CONTACT_DESCRIPTION";"This email is sent to the Super Admin when a consumer sends a message using the contact page."
"_EMAIL_CORE_CONTACT_SUBJECT";"A consumer has sent you a message using the contact page."
"_EMAIL_CORE_VERIFICATION_DESCRIPTION";"This is the email that gets sent to consumers to verify their email addresses if random passwords are disabled."
"_EMAIL_CORE_VERIFICATION_PASSWORD_DESCRIPTION";"This is the email that gets sent to consumers to verify their email addresses if you have enabled random passwords."
"_EMAIL_NOTIFY_ADMIN_USER_SIGNUP_DESCRIPTION";"This is the email that gets sent to the admin when a consumer signs up."
"_EMAIL_NOTIFY_ADMIN_USER_SIGNUP_BODY";"
Congratulations, someone has joined your social network. Welcome the new consumer to your site:

[object_title] : http://[host][object_link]
Signup Date: [date]

"
"_EMAIL_CORE_WELCOME_DESCRIPTION";"This is the email that gets sent when a consumer signs up if random passwords are disabled."
"_EMAIL_CORE_WELCOME_PASSWORD_DESCRIPTION";"This is the email that gets sent when a consumer signs up if random passwords are enabled. Please note that if you have email verification enabled, the password variable is not available. This is due to the fact that passwords are securely encrypted upon signup and cannot be unencrypted when a consumer verifies their email address and the welcome email is sent."
"_EMAIL_CORE_LOSTPASSWORD_DESCRIPTION";"This is the email that gets sent if a consumer forgets their password and requests to create a new one."
"All Registered Members";"All Registered Consumers"
"HECORE_FRIEND_WIDGET_FORM_ADMIN_LEVEL_PRIVACY_DESCRIPTION";"Which options will be available for your network consumers in friends widget settings box?"
"_CORE_HELP_CONTACT_MESSAGE";"Name: %1$s
Email: %2$s
consumer Info: (%3$s - %4$s)
IP: %5$s
User-agent: %6$s
Timestamp: %7$s
Message:
    %8$s"
"CORE_FORM_ADMINS_LAYOUT_CONTENT_PAGE_LEVELS_DESCRIPTION";"Specify which consumer levels will be able to view this page. To show this page to all consumer levels, leave them all selected. If you want this page to be hidden from none registered consumers, please make sure you select deselect the public consumer level. Use CTRL-click to select or deselect multiple levels."
"Member’s Name / Email";"Member’s Name / Email"
"Select the networks, members of which should be able to see your product. (Press Ctrl and click to select multiple networks. You can also choose to make your product viewable to everyone.)";"Select the networks, consumers of which should be able to see your product. (Press Ctrl and click to select multiple networks. You can also choose to make your product viewable to everyone.)"
"Registered Member";"Registered Consumer"
"Login Member";"Login Consumer"
